url,type
https://github.com/timdream/wordcloud2.js/issues/94,0
https://github.com/marcbruederlin/particles.js/issues/21,1
https://github.com/Vibrant-Colors/node-vibrant/issues/36,11
https://github.com/martinlaxenaire/curtainsjs/issues/45,2
https://github.com/piskelapp/piskel/issues/779,9
https://github.com/regl-project/regl/issues/32,1
https://github.com/HumbleSoftware/Flotr2/issues/173,5
https://github.com/GoogleChromeLabs/proxx/issues/220,0
https://github.com/visjs/vis-network/issues/1238,1
https://github.com/brianchirls/Seriously.js/issues/24,9
https://github.com/nodeca/pica/issues/187,0
https://github.com/photonstorm/phaser-ce/issues/367,9
https://github.com/playcanvas/engine/issues/1299,3
https://github.com/matplotlib/ipympl/issues/66,4
https://github.com/vasturiano/3d-force-graph/issues/67,9
https://github.com/VincentGarreau/particles.js/issues/114,1
https://github.com/metafizzy/zdog/issues/20,2
https://github.com/mosch/react-avatar-editor/issues/171,0
https://github.com/melonjs/melonJS/issues/839,1
https://github.com/fengyuanchen/cropperjs/issues/651,6
https://github.com/imsky/holder/issues/89,1
https://github.com/serratus/quaggaJS/issues/185,0
https://github.com/0xfe/vexflow/issues/773,7
https://github.com/rough-stuff/rough/issues/143,6
https://github.com/katspaugh/wavesurfer.js/issues/691,0
https://github.com/eKoopmans/html2pdf.js/issues/194,9
https://github.com/spite/ccapture.js/issues/3,1
https://github.com/rendro/easy-pie-chart/issues/17,0
https://github.com/plouc/nivo/issues/514,0
https://github.com/metafloor/bwip-js/issues/114,10
https://github.com/meltingice/CamanJS/issues/235,0
https://github.com/pa7/heatmap.js/issues/65,6
https://github.com/cornerstonejs/cornerstone/issues/126,3
https://github.com/processing/p5.js/issues/849,4
https://github.com/vega/vega/issues/2425,0
https://github.com/pixijs/pixijs/issues/273,0
https://github.com/Mikhus/canvas-gauges/issues/5,2
https://github.com/photonstorm/phaser/issues/2587,1
https://github.com/alyssaxuu/flowy/issues/100,2
https://github.com/blueimp/JavaScript-Load-Image/issues/36,9
https://github.com/jasondavies/d3-cloud/issues/55,2
https://github.com/jonobr1/two.js/issues/232,7
https://github.com/fengyuanchen/compressorjs/issues/17,9
https://github.com/tipsy/bubbly-bg/issues/18,1
https://github.com/myliang/x-spreadsheet/issues/14,9
https://github.com/bbc/VideoContext/issues/14,9
https://github.com/bernii/gauge.js/issues/235,1
https://github.com/jagenjo/litegraph.js/issues/5,1
https://github.com/viliusle/miniPaint/issues/71,3
https://github.com/opentypejs/opentype.js/issues/223,1
https://github.com/danvk/dygraphs/issues/323,4
https://github.com/cykod/Quintus/issues/125,0
https://github.com/sorccu/cufon/issues/165,9
https://github.com/tradingview/lightweight-charts/issues/229,0
https://github.com/mrdoob/three.js/issues/9195,9
https://github.com/highcharts/highcharts/issues/3533,11
https://github.com/szimek/signature_pad/issues/199,1
https://github.com/Netflix/vizceral/issues/44,2
https://github.com/neocotic/qrious/issues/41,1
https://github.com/melonjs/melonJS/issues/554,0
https://github.com/gamelab/kiwi.js/issues/60,0
https://github.com/novnc/noVNC/issues/136,1
https://github.com/catdad/canvas-confetti/issues/78,1
https://github.com/tengbao/vanta/issues/22,6
https://github.com/nhn/tui.image-editor/issues/228,6
https://github.com/cocos2d/cocos2d-html5/issues/2776,1
https://github.com/oframe/ogl/issues/33,4
https://github.com/skanaar/nomnoml/issues/95,1
https://github.com/leeoniya/uPlot/issues/288,0
https://github.com/chartjs/Chart.js/issues/4066,2
https://github.com/BinaryMuse/planetary.js/issues/19,1
https://github.com/mattdesl/canvas-sketch/issues/113,7
https://github.com/jakubfiala/atrament.js/issues/22,6
https://github.com/tsayen/dom-to-image/issues/27,9
https://github.com/mifi/editly/issues/28,7
https://github.com/fengyuanchen/cropper/issues/92,0
https://github.com/benhowdle89/grade/issues/11,10
https://github.com/AlexNisnevich/untrusted/issues/105,9
https://github.com/williamngan/pts/issues/46,2
https://github.com/huytd/agar.io-clone/issues/138,6
https://github.com/liabru/matter-js/issues/153,2
https://github.com/d3/d3/issues/2923,1
https://github.com/BabylonJS/Babylon.js/issues/3395,1
https://github.com/schteppe/p2.js/issues/44,7
https://github.com/taye/interact.js/issues/159,2
https://github.com/CreateJS/EaselJS/issues/228,6
https://github.com/apache/echarts/issues/10732,1
https://github.com/cocos2d/cocos2d-html5/issues/1092,0
https://github.com/eKoopmans/html2pdf.js/issues/193,9
https://github.com/mifi/editly/issues/109,1
https://github.com/Mikhus/canvas-gauges/issues/99,3
https://github.com/taye/interact.js/issues/400,6
https://github.com/danvk/dygraphs/issues/398,11
https://github.com/neocotic/qrious/issues/2,2
https://github.com/bbc/VideoContext/issues/22,1
https://github.com/vasturiano/3d-force-graph/issues/386,2
https://github.com/rendro/easy-pie-chart/issues/8,9
https://github.com/spite/ccapture.js/issues/75,5
https://github.com/vasturiano/3d-force-graph/issues/413,6
https://github.com/GoogleChromeLabs/proxx/issues/219,0
https://github.com/visjs/vis-network/issues/340,0
https://github.com/Netflix/vizceral/issues/64,0
https://github.com/viliusle/miniPaint/issues/64,2
https://github.com/blueimp/JavaScript-Load-Image/issues/41,7
https://github.com/regl-project/regl/issues/565,0
https://github.com/cykod/Quintus/issues/153,10
https://github.com/rough-stuff/rough/issues/65,0
https://github.com/bernii/gauge.js/issues/69,1
https://github.com/chartjs/Chart.js/issues/4209,0
https://github.com/fengyuanchen/cropperjs/issues/538,7
https://github.com/0xfe/vexflow/issues/279,1
https://github.com/cornerstonejs/cornerstone/issues/110,0
https://github.com/cburgmer/rasterizeHTML.js/issues/62,9
https://github.com/brianchirls/Seriously.js/issues/56,0
https://github.com/vega/vega/issues/610,4
https://github.com/meltingice/CamanJS/issues/51,0
https://github.com/catdad/canvas-confetti/issues/112,1
https://github.com/imsky/holder/issues/99,1
https://github.com/BabylonJS/Babylon.js/issues/17,11
https://github.com/marcbruederlin/particles.js/issues/32,2
https://github.com/melonjs/melonJS/issues/783,9
https://github.com/playcanvas/engine/issues/1101,3
https://github.com/huytd/agar.io-clone/issues/13,2
https://github.com/szimek/signature_pad/issues/387,1
https://github.com/plouc/nivo/issues/1321,8
https://github.com/highcharts/highcharts/issues/7610,0
https://github.com/apache/echarts/issues/12229,3
https://github.com/mosch/react-avatar-editor/issues/299,4
https://github.com/jasondavies/d3-cloud/issues/3,8
https://github.com/williamngan/pts/issues/29,9
https://github.com/photonstorm/phaser-ce/issues/262,1
https://github.com/gamelab/kiwi.js/issues/73,0
https://github.com/fengyuanchen/cropper/issues/1068,7
https://github.com/alyssaxuu/flowy/issues/31,6
https://github.com/Vibrant-Colors/node-vibrant/issues/43,10
https://github.com/d3/d3/issues/3069,9
https://github.com/photonstorm/phaser/issues/2000,9
https://github.com/tradingview/lightweight-charts/issues/93,9
https://github.com/CreateJS/EaselJS/issues/170,0
https://github.com/liabru/matter-js/issues/27,6
https://github.com/niklasvh/html2canvas/issues/1946,1
https://github.com/mattdesl/canvas-sketch/issues/69,7
https://github.com/jagenjo/litegraph.js/issues/34,2
https://github.com/VincentGarreau/particles.js/issues/67,1
https://github.com/matplotlib/ipympl/issues/252,1
https://github.com/pa7/heatmap.js/issues/228,9
https://github.com/jonobr1/two.js/issues/396,7
https://github.com/timdream/wordcloud2.js/issues/132,4
https://github.com/nhn/tui.image-editor/issues/18,1
https://github.com/novnc/noVNC/issues/540,7
https://github.com/piskelapp/piskel/issues/796,9
https://github.com/jakubfiala/atrament.js/issues/67,6
https://github.com/leeoniya/uPlot/issues/334,0
https://github.com/schteppe/p2.js/issues/105,7
https://github.com/HumbleSoftware/Flotr2/issues/103,9
https://github.com/1j01/jspaint/issues/184,9
https://github.com/fengyuanchen/compressorjs/issues/115,1
https://github.com/katspaugh/wavesurfer.js/issues/702,0
https://github.com/metafloor/bwip-js/issues/30,1
https://github.com/nodeca/pica/issues/83,9
https://github.com/processing/p5.js/issues/420,2
https://github.com/mrdoob/three.js/issues/2071,0
https://github.com/tsayen/dom-to-image/issues/112,10
https://github.com/pixijs/pixijs/issues/7437,7
https://github.com/serratus/quaggaJS/issues/446,1
https://github.com/martinlaxenaire/curtainsjs/issues/32,7
https://github.com/leeoniya/uPlot/issues/392,2
https://github.com/CreateJS/EaselJS/issues/817,1
https://github.com/0xfe/vexflow/issues/743,1
https://github.com/photonstorm/phaser-ce/issues/130,9
https://github.com/d3/d3/issues/2462,0
https://github.com/gamelab/kiwi.js/issues/218,3
https://github.com/catdad/canvas-confetti/issues/104,2
https://github.com/alyssaxuu/flowy/issues/56,4
https://github.com/vega/vega/issues/101,4
https://github.com/danvk/dygraphs/issues/876,7
https://github.com/spite/ccapture.js/issues/7,7
https://github.com/metafloor/bwip-js/issues/63,1
https://github.com/cocos2d/cocos2d-html5/issues/679,11
https://github.com/regl-project/regl/issues/536,0
https://github.com/liabru/matter-js/issues/44,1
https://github.com/rough-stuff/rough/issues/139,0
https://github.com/nodeca/pica/issues/139,1
https://github.com/VincentGarreau/particles.js/issues/324,1
https://github.com/mrdoob/three.js/issues/12630,6
https://github.com/nhn/tui.image-editor/issues/229,0
https://github.com/tradingview/lightweight-charts/issues/427,6
https://github.com/pa7/heatmap.js/issues/255,2
https://github.com/bbc/VideoContext/issues/51,7
https://github.com/matplotlib/ipympl/issues/303,7
https://github.com/eKoopmans/html2pdf.js/issues/415,7
https://github.com/jasondavies/d3-cloud/issues/144,1
https://github.com/serratus/quaggaJS/issues/191,7
https://github.com/jagenjo/litegraph.js/issues/56,4
https://github.com/HumbleSoftware/Flotr2/issues/89,1
https://github.com/visjs/vis-network/issues/679,1
https://github.com/blueimp/JavaScript-Load-Image/issues/114,7
https://github.com/imsky/holder/issues/71,1
https://github.com/szimek/signature_pad/issues/89,0
https://github.com/playcanvas/engine/issues/1508,9
https://github.com/pixijs/pixijs/issues/3829,0
https://github.com/fengyuanchen/cropper/issues/911,7
https://github.com/mosch/react-avatar-editor/issues/248,5
